"Figure 1: Employment rate for all people increased 0.3 percentage points on the year, to just below the record- high employment rate",""
"UK employment rates (aged 16 to 64 years), seasonally adjusted, January to March 1971 to June to August 2019",""
"",""
"Notes",""
"Unit","%"
"",""
"Period","People","Men","Women"
"Jun-Aug 2017","75.1","79.6","70.7"
"Jul-Sep 2017","75.0","79.4","70.6"
"Aug-Oct 2017","75.1","79.4","70.8"
"Sep-Nov 2017","75.3","79.9","70.8"
"Oct-Dec 2017","75.2","79.6","70.8"
"Nov-Jan 2018","75.3","79.8","70.9"
"Dec-Feb 2018","75.4","79.8","71.0"
"Jan-Mar 2018","75.6","80.0","71.2"
"Feb-Apr 2018","75.6","80.0","71.3"
"Mar-May 2018","75.6","80.1","71.2"
"Apr-Jun 2018","75.5","80.1","71.0"
"May-Jul 2018","75.5","80.1","71.0"
"Jun-Aug 2018","75.6","80.1","71.0"
"Jul-Sep 2018","75.6","80.1","71.1"
"Aug-Oct 2018","75.7","80.3","71.2"
"Sep-Nov 2018","75.8","80.3","71.3"
"Oct-Dec 2018","75.8","80.3","71.4"
"Nov-Jan 2019","76.1","80.5","71.8"
"Dec-Feb 2019","76.1","80.5","71.8"
"Jan-Mar 2019","76.1","80.3","71.8"
"Feb-Apr 2019","76.1","80.3","72.0"
"Mar-May 2019","76.0","80.2","72.0"
"Apr-Jun 2019","76.1","80.1","72.1"
"May-Jul 2019","76.1","80.2","72.1"
"Jun-Aug 2019","75.9","80.2","71.6"
